HET Code,Smiles,Molecular Weight
A00,COC(=O)NC(C(c1ccccc1)c2ccccc2)C(=O)NCCCCC(CO)N(CC(C)C)S(=O)(=O)c3ccc(N)cc3,624.79066
A02,NCCCCC(NC(=O)CCCCCNC(=O)C1OC(C(O)C1O)n2cnc3c(N)ncnc23)C(=O)NCCCCCC(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)N,947.099
A03,CC(NC(=O)CCCCCNC(=O)C1OC(C(O)C1O)n2cnc3c(N)ncnc23)C(=O)NCCCCCC(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)N,890.00462
A1T,CCCCCc1ccc(nc1)C(=O)N(Cc2ccc(cc2)c3ccc(cc3)C(=O)N4CCCCC4)C5CCN(Cc6ccccn6)CC5,643.86006
A22,Nc1ncnc2c1ncn2C3OC(COP(=O)(O)OP(=O)(O)OCC4OC(C(OP(=O)(O)O)C4O)n5cnc6c(N)ncnc56)C(O)C3O,756.40706
A2D,Nc1ncnc2c1ncn2C3OC(COP(=O)(O)OP(=O)(O)OCC4OC(C(O)C4O)n5cnc6c(N)ncnc56)C(O)C3O,676.42716
A2N,CC(=O)NC1C(O)OC(COP(=O)(O)OP(=O)(O)OCC2OC(C(O)C2O)n3cnc4c(N)ncnc34)C1O,600.36766
A2R,Nc1ncnc2c1ncn2C3OC(COP(=O)(O)OP(=O)(O)OCC4OC(O)C(O)C4O)C(O)C3OP(=O)(O)O,639.29564
A31,O=C(CCCCC1SCC2NC(=O)NC12)NCCCOCCOCCOCCCNC(=O)CCCC(=O)NCCCCCCCCNC(=O)C34CC5CC(CC(C5)C3)C4,849.17464
A3D,CC(=O)c1ccc[n+](c1)C2OC(COP(=O)([O-])OP(=O)(O)OCC3OC(C(O)C3O)n4cnc5c(N)ncnc45)C(O)C2O,662.43704
A4C,CN(C)CCNC(=O)c1cccc2c(NCCCCCCNc3c4ccccc4nc5c(cccc35)C(=O)NCCN(C)C)c6ccccc6nc12,698.8988
A4L,COc1ccc2[nH+]c3cc(Cl)ccc3c(NCCCCC(NC(=O)C)C(=O)NC(CCCCN)C(=O)C(=O)C(CCCCN)NC(=O)C(CCCCN)NNC(CCCCN)C=O)c2c1,927.59432
A4P,NC1=NC2=C(N=C(COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OCC3OC(C(O)C3O)n4cnc5c(N)ncnc45)CN2)C(=O)N1,764.3243
A5T,Fc1ccc(F)c(OCCCc2ccc(cc2)C3=C(C4CNCC(C3)N4)C(=O)N(Cc5cccc(Cl)c5Cl)C6CC6)c1Cl,646.98189
A61,CCC(CC)CN(CC(O)C(Cc1ccccc1)NC(=O)OC2COC3OCCC23)S(=O)(=O)c4ccc5ncsc5c4,617.77656
A69,OC(CN(CCCc1ccccc1)S(=O)(=O)c2ccc3ncsc3c2)C(Cc4ccccc4)NC(=O)c5cccc(O)c5,615.76222
A6J,COc1c(F)c(F)c(C(=O)NC2C(O)C(CO)OC(SC3OC(CO)C(O)C(NC(=O)c4c(F)c(F)c(OC)c(F)c4F)C3OS(=O)(=O)O)C2O)c(F)c1F,848.64355
A6T,Fc1ccc(F)c(OCCCc2ccc(cc2)C3=C(C4CNCC(C3)N4)C(=O)N(Cc5cccc(Cl)c5Cl)C6CC6)c1Cl,646.98189
A70,CCCCNC(=O)C(CC(O)C(CC1CCCCC1)NC(=O)C(CCCC)N2CCN(C(Cc3ccccc3)C2=O)C(=O)N4CCN(C)CC4)C(C)C,739.0424
A76,CC(C)C(NC(=O)N(C)Cc1ccccn1)C(=O)NC(Cc2ccccc2)C(O)C(O)C(Cc3ccccc3)NC(=O)C(NC(=O)N(C)Cc4ccccn4)C(C)C,794.98132
A77,CC(C)C(NC(=O)N(C)Cc1ccccn1)C(=O)NC(Cc2ccccc2)C(O)C(O)C(Cc3ccccc3)NC(=O)C(NC(=O)N(C)Cc4ccccn4)C(C)C,794.98132
A78,CC(C)C(NC(=O)N(C)Cc1cccc[nH+]1)C(=O)NC(CC(O)C(Cc2ccccc2)NC(=O)C(NC(=O)N(C)Cc3cccc[nH+]3)C(C)C)Cc4ccccc4,780.9978
A79,CC(C)C(NC(=O)N(C)Cc1ccccn1)C(=O)NC(Cc2ccccc2)C(O)C(O)C(Cc3ccccc3)NC(=O)C(NC(=O)N(C)Cc4ccccn4)C(C)C,794.98132
A7T,Cc1cc(Cl)c(OCCOc2ccc(cc2)C3=C(C4CNCC(C3)N4)C(=O)N(Cc5cccc(C)c5C)C6CC6)c(Cl)c1,620.60846
A83,COc1ccc(cc1)S(=O)(=O)N(CC(C)C)CC(O)C(Cc2ccccc2)n3cc(CNC(=O)c4ccc(CNC(=O)OC(C)(C)C)cc4)nn3,720.87802
A85,CC(C)C(NC(=O)N(C)Cc1ccccn1)C(=O)NC(Cc2ccccc2)C(O)(O)C(F)(F)C(Cc3ccccc3)NC(=O)C(NC(=O)N(C)Cc4ccccn4)C(C)C,830.96225
A89,Cc1cc(ccc1Br)C(=O)NC(Cc2ccc(cc2)C(F)(F)P(=O)(O)O)C(=O)NC(CCCNC(=O)c3cccc(I)c3)C(=O)N,835.36878
A8P,CCCCCCCCNc1nc2c(N)ncnc2n1C3OC(COP(=O)(O)OP(=O)(O)OCC4[NH2+]CC(O)C4O)C(O)C3O,670.5668
A99,CC(OP(=O)(O)OP(=O)(O)OP(=O)(O)OCC1OC(C(O)C1O)n2cnc3c(N)ncnc23)c4ccccc4[N+](=O)[O-],656.3277
AA9,CCNc1cc(cc(c1)C(=O)NC(Cc2ccccc2)C(O)CNC(C)C(=O)NC3CCCCC3)N(c4ccccc4)S(=O)(=O)C,649.84318
AAO,CC1OC(OC2C(O)C(O)C(OC3C(O)C(O)C(O)OC3CO)OC2CO)C(O)C(O)C1NC4C=C(CO)C(OC5OC(CO)C(OC6OC(CO)C(O)C(O)C6O)C(O)C5O)C(O)C4O,969.88602
AAU,COc1cc(CN2C(Cc3ccccc3)C(O)CN(N(Cc4ccc(O)c(OC)c4)C2=O)C(=O)CCc5ccc(O)cc5)ccc1O,641.71016
AAY,CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)N3Cc4ccc5c(CO)c(OC)ccc5c4)C12,603.78806
AB1,CC(C)C(N1CCCNC1=O)C(=O)NC(CC(O)C(Cc2ccccc2)NC(=O)COc3c(C)cccc3C)Cc4ccccc4,628.80082
AB2,COc1ccc(cc1)S(=O)(=O)N(CC(C)C)CC(O)C(Cc2ccccc2)n3cc(COC(=O)NC4C(O)Cc5ccccc45)nn3,663.78364
ABC,CC1OC(OC2C(O)C(O)C(OC3C(O)C(O)C(NC4C(C)OC(OC5C(O)C(O)C(OC6C(C)OC(O)C(O)C6O)OC5CO)C(O)C4O)C=C3CO)OC2CO)C(O)C(O)C1O,937.88722
ABD,CC1OC(OC2C(O)C(O)C(OC3C(O)C(O)C(O)OC3CO)OC2CO)C(O)C(O)C1NC4OC(CO)C(OC5OC(CO)C(OC6OC(CO)C(O)C(O)C6O)C(O)C5O)C(O)C4O,973.87472
AC8,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(C(OP(=O)(O)O)C1OP(=O)(O)O)n2cnc3c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCS,847.51402
ACG,CC1OC(OC2C(O)C(O)C(NC3C(C)OC(OC4C(O)C(O)C(OC5C(O)C(O)C(O)OC5CO)OC4CO)C(O)C3O)C=C2CO)C(O)C(O)C1O,791.74602
ACO,CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(C(O)C1OP(=O)(O)O)n2cnc3c(N)ncnc23,809.5708
ACR,CC1OC(OC2C(O)C(O)C(OC3C(O)C(O)C(O)OC3CO)OC2CO)C(O)C(O)C1NC4C=C(CO)C(O)C(O)C4O,645.60482
AD4,CCCCCCCC(=O)OC1C(OC(=O)\C(=C/C)\C)C(=C2C3OC(=O)C(C)(O)C3(O)C(CC(C)(OC(=O)C)C12)OC(=O)CCCCCCCCCCCNC(=O)OC(C)(C)C)C,878.0967
